word,similarity,source
礼乐滩,0.7602105140686035,Renda
测量船,0.7585707306861877,Renda
渔船,0.7472876310348511,Renda
抓捕,0.7453310489654541,Renda
渔政,0.7437959909439087,Renda
护渔,0.735271692276001,Renda
中建岛,0.7310161590576172,Renda
中建,0.7265647649765015,Renda
美国军机,0.7207709550857544,Renda
巡视,0.7157984375953674,Renda
驱赶,0.7064619064331055,Renda
无瑕,0.7023510336875916,Renda
三艘,0.7012784481048584,Renda
钻井平台,0.700846791267395,Renda
科考,0.6990248560905457,Renda
公务,0.6958920359611511,Renda
钻探,0.6942718029022217,Renda
两架,0.6889420747756958,Renda
日本航空自卫队,0.6877557635307312,Renda
巡航,0.6842094659805298,Renda
